H,Time,dT
16051.96744462102,1958-02-10 23:10:20.462365,40220.46236515321
16036.619075994162,1958-02-10 23:13:06.212972,40386.21297207297
16019.537276478533,1958-02-10 23:15:52.051185,40552.05118502175
16000.434964361679,1958-02-10 23:18:46.387183,40726.3871827862
15992.530151904251,1958-02-10 23:21:51.323510,40911.323510062946
16003.032266135186,1958-02-10 23:24:05.711159,41045.711158590915
16009.669389643599,1958-02-10 23:27:39.360362,41259.36036188139
16017.845310516981,1958-02-10 23:31:31.297324,41491.2973237313
16019.251726452045,1958-02-10 23:35:31.447351,41731.44735080254
16024.165156218185,1958-02-10 23:38:26.878424,41906.878423929826
16033.557454560725,1958-02-10 23:44:12.221390,42252.22139035566
16016.379815266091,1958-02-10 23:50:41.893007,42641.89300746934
16007.499162553935,1958-02-10 23:54:07.016267,42847.0162668634
16002.210626020651,1958-02-10 23:58:02.332318,43082.33231840436
16008.761865708837,1958-02-11 00:01:56.240416,43316.24041590743
16006.918919273508,1958-02-11 00:06:00.332714,43560.33271428489
16014.553279751826,1958-02-11 00:09:52.926721,43792.92672135254
16018.667497662216,1958-02-11 00:13:49.791522,44029.79152233523
16015.199870041692,1958-02-11 00:17:55.854956,44275.85495636582
16021.480329532344,1958-02-11 00:21:50.091576,44510.09157647772
16024.240646455071,1958-02-11 00:25:48.598991,44748.5989905047
16028.625644562997,1958-02-11 00:29:45.135269,44985.135268878556
16027.699412178223,1958-02-11 00:33:29.976142,45209.976142377265
16017.322458571927,1958-02-11 00:35:19.308467,45319.308466603405
16024.411320034123,1958-02-11 00:38:54.425071,45534.42507088009
16031.233339919841,1958-02-11 00:42:48.004646,45768.00464577427
16041.84628257102,1958-02-11 00:46:36.984904,45996.98490414453
16038.107874752961,1958-02-11 00:50:43.376861,46243.37686078398
16037.506578605227,1958-02-11 00:54:27.823507,46467.82350715206
16027.12962499893,1958-02-11 00:56:17.155831,46577.15583137819
16028.477946273433,1958-02-11 00:59:59.237115,46799.23711496255
16031.779823591225,1958-02-11 01:03:57.087484,47037.08748377184
16036.977162291749,1958-02-11 01:07:52.638194,47272.63819431914
16044.153658072419,1958-02-11 01:11:15.555659,47475.55565905373
16128.36137622878,1958-02-11 01:16:06.407675,47766.407675424554
16115.370491115633,1958-02-11 01:16:52.400841,47812.40084066395
16089.414978363042,1958-02-11 01:20:25.283491,48025.283491200404
16076.41752888147,1958-02-11 01:20:41.052576,48041.052576425325
16114.011666851651,1958-02-11 01:23:27.066001,48207.06600143216
16076.89453965369,1958-02-11 01:29:34.573293,48574.573293201924
16061.358867714438,1958-02-11 01:29:03.035123,48543.03512275208
16086.675448606993,1958-02-11 01:31:53.866879,48713.86687935541
15921.380275418971,1958-02-11 01:39:56.576099,49196.57609929615
15903.341390986972,1958-02-11 01:41:18.925767,49278.925766581866
15702.561742804988,1958-02-11 01:50:07.565576,49807.565576026966
15683.159345274416,1958-02-11 01:49:47.916795,49787.91679523083
15986.577582616428,1958-02-11 01:54:44.901234,50084.90123363355
15967.449013025873,1958-02-11 01:55:38.340911,50138.34091134024
15952.652926595843,1958-02-11 01:56:26.524227,50186.52422730531
15931.745413162103,1958-02-11 01:59:23.050376,50363.05037579541
15912.691677371593,1958-02-11 02:00:28.492079,50428.492079478856
15895.377499213719,1958-02-11 02:02:02.055318,50522.055318480074
15878.725009393087,1958-02-11 02:04:29.233447,50669.23344724601
15876.059875812523,1958-02-11 02:07:48.975193,50868.97519342838
15745.678390154459,1958-02-11 02:20:46.916731,51646.916731191326
15730.514699092626,1958-02-11 02:21:05.313997,51665.31399728706
15804.991835120276,1958-02-11 02:27:28.590374,52048.590374281746
15783.460269061596,1958-02-11 02:26:52.233872,52012.233872235396
15806.497263612417,1958-02-11 02:32:08.929667,52328.92966716929
15787.72973428524,1958-02-11 02:33:01.931315,52381.93131473087
15767.518043904554,1958-02-11 02:33:56.685083,52436.685082872944
15746.607248286602,1958-02-11 02:36:38.099191,52598.09919135584
15728.026803459537,1958-02-11 02:38:01.105904,52681.10590385926
15717.753566874357,1958-02-11 02:39:29.149963,52769.14996303176
15693.955543210792,1958-02-11 02:42:19.105659,52939.10565934483
15677.16935908657,1958-02-11 02:42:49.548754,52969.54875443183
15660.380986839542,1958-02-11 02:43:09.917156,52989.9171561807
15641.974497775742,1958-02-11 02:44:02.480774,53042.48077359711
15684.242466064548,1958-02-11 02:45:12.127567,53112.127566673866
15925.161351631792,1958-02-11 03:16:06.309171,54966.30917103788
15937.167581481182,1958-02-11 03:22:54.991296,55374.99129645048
15956.75565686149,1958-02-11 03:29:34.474789,55774.47478881522
15951.747043753188,1958-02-11 04:00:54.938202,57654.938201887424
16174.538425914696,1958-02-11 04:12:32.063178,58352.06317787262
15959.899989337082,1958-02-11 04:44:35.234530,60275.23453009567
15919.06961773336,1958-02-11 05:10:36.373967,61836.37396736315
