datetime,x,y,z
1989-03-11 13:43:30,16576,-4123,54662
1989-03-11 13:43:40,16576,-4123,54663
1989-03-11 13:43:50,16578,-4126,54663
1989-03-11 13:44:00,16579,-4128,54663
1989-03-11 13:44:10,16579,-4130,54663
1989-03-11 13:44:20,16578,-4131,54664
1989-03-11 13:44:30,16581,-4132,54664
1989-03-11 13:44:40,16580,-4134,54664
1989-03-11 13:44:50,16581,-4136,54665
1989-03-11 13:45:00,16581,-4136,54668
1989-03-11 13:45:10,16579,-4139,54665
1989-03-11 13:45:20,16580,-4139,54665
1989-03-11 13:45:30,16578,-4138,54665
1989-03-11 13:45:40,16578,-4138,54665
1989-03-11 13:45:50,16578,-4136,54666
1989-03-11 13:46:00,16576,-4135,54666
1989-03-11 13:46:10,16575,-4135,54665
1989-03-11 13:46:20,16574,-4135,54664
1989-03-11 13:46:30,16574,-4133,54665
1989-03-11 13:46:40,16573,-4134,54662
1989-03-11 13:46:50,16571,-4133,54661
1989-03-11 13:47:00,16572,-4131,54661
1989-03-11 13:47:10,16571,-4131,54661
1989-03-11 13:47:20,16573,-4131,54661
1989-03-11 13:47:30,16573,-4131,54661
1989-03-11 13:47:40,16573,-4130,54661
1989-03-11 13:47:50,16575,-4131,54659
1989-03-11 13:48:00,16574,-4128,54658
1989-03-11 13:48:10,16576,-4128,54659
1989-03-11 13:48:20,16576,-4126,54661
1989-03-11 13:48:30,16575,-4128,54659
1989-03-11 13:48:40,16577,-4128,54661
1989-03-11 13:48:50,16579,-4130,54662
1989-03-11 13:49:00,16579,-4130,54664
1989-03-11 13:49:10,16581,-4132,54662
1989-03-11 13:49:20,16581,-4132,54665
1989-03-11 13:49:30,16582,-4135,54663
1989-03-11 13:49:40,16583,-4135,54664
1989-03-11 13:49:50,16583,-4137,54664
1989-03-11 13:50:00,16583,-4136,54667
1989-03-11 13:50:10,16582,-4137,54666
1989-03-11 13:50:20,16581,-4137,54667
1989-03-11 13:50:30,16580,-4139,54666
1989-03-11 13:50:40,16578,-4138,54665
1989-03-11 13:50:50,16578,-4138,54663
1989-03-11 13:51:00,16579,-4138,54664
1989-03-11 13:51:10,16579,-4139,54663
1989-03-11 13:51:20,16578,-4136,54666
1989-03-11 13:51:30,16579,-4136,54664
1989-03-11 13:51:40,16579,-4137,54664
1989-03-11 13:51:50,16578,-4137,54662
1989-03-11 13:52:00,16578,-4135,54664
1989-03-11 13:52:10,16577,-4134,54665
1989-03-11 13:52:20,16576,-4137,54662
1989-03-11 13:52:30,16575,-4137,54662
