Z,Time,dT
44962.08528062002,1958-02-10 22:35:26.308833,38126.308833414994
44956.04231587476,1958-02-10 22:46:35.866422,38795.86642208526
44942.07262268277,1958-02-10 22:57:45.424011,39465.424010755516
44929.85613531194,1958-02-10 23:09:55.850471,40195.85047112308
44930.19185557556,1958-02-10 23:21:05.408060,40865.408059793335
44921.46312872129,1958-02-10 23:32:14.965648,41534.9656484636
44922.80600977579,1958-02-10 23:43:24.523237,42204.52323713386
44918.45843236184,1958-02-10 23:54:03.646390,42843.64638995546
44917.350555491874,1958-02-11 00:08:31.027812,43711.02781164194
44921.6309888531,1958-02-11 00:18:54.933747,44334.933746539224
44924.98819148936,1958-02-11 00:30:04.491335,45004.491335209466
44925.65963201661,1958-02-11 00:41:14.048924,45674.048923879745
44925.65963201661,1958-02-11 00:52:23.606513,46343.606512549995
44924.736401291644,1958-02-11 01:02:24.686621,46944.686620560795
44918.60950648047,1958-02-11 01:14:42.721690,47682.721689890524
44915.25230384421,1958-02-11 01:25:52.279279,48352.279278560774
44862.14135813859,1958-02-11 01:38:02.705739,49082.705738928336
44823.181021544806,1958-02-11 01:47:40.960020,49660.960020052655
44781.02015177112,1958-02-11 01:55:37.766182,50137.76618168147
44489.433114467705,1958-02-11 03:29:38.281626,55778.28162563093
44534.20980462881,1958-02-11 03:38:46.101471,56326.10147090659
44561.90672637795,1958-02-11 03:43:20.011394,56600.01139354443
44605.60631402658,1958-02-11 04:02:46.664768,57766.66476774262
44704.268904168515,1958-02-11 04:19:51.290775,58791.29077464711
44696.69841222375,1958-02-11 04:30:30.413927,59430.41392746872
44741.01348702237,1958-02-11 04:42:06.058175,60126.0581754378
44758.55487079682,1958-02-11 04:52:39.384293,60759.384292859686
44770.556870221444,1958-02-11 05:02:58.217822,61378.21782178219
44614.069262338824,1958-02-11 05:16:39.947590,62199.9475896957
44651.20831650244,1958-02-11 05:32:23.415101,63143.4151010038
44642.535543025435,1958-02-11 05:46:25.434493,63985.434492816385
44641.30456872547,1958-02-11 05:57:14.702458,64634.70245758754
44651.82939899014,1958-02-11 06:12:27.735533,65547.735533047
44670.05661130315,1958-02-11 06:24:33.814217,66273.81421686473
44705.00748874849,1958-02-11 06:38:09.746949,67089.7469493785
44703.77651444853,1958-02-11 06:53:02.490401,67982.49040093886
44726.24179542283,1958-02-11 07:04:12.047990,68652.04798960911
44752.09225572202,1958-02-11 07:14:51.171142,69291.17114243071
44829.64363661961,1958-02-11 07:20:56.384373,69656.3843726145
44785.328561820985,1958-02-11 07:43:15.499550,70995.49954995501
44768.017985727776,1958-02-11 07:54:02.231312,71642.2313117388
44776.55786993376,1958-02-11 08:09:07.655778,72547.65577823608
44792.714407620755,1958-02-11 08:22:14.603334,73334.6033337511
44762.247793696704,1958-02-11 08:31:11.553738,73871.55373765227
44754.2024973791,1958-02-11 08:39:03.287493,74343.28749330631
44756.84029945044,1958-02-11 08:48:54.585104,74934.58510408006
44766.49465503157,1958-02-11 09:01:10.228896,75670.22889630738
44693.00548932386,1958-02-11 09:17:05.870182,76625.87018195492
44648.69041452524,1958-02-11 09:25:43.255591,77143.25559138195
44715.163026723174,1958-02-11 09:32:18.903257,77538.90325741436
44683.1858978394,1958-02-11 02:03:33.861386,50613.861386138626
44709.1358978394,1958-02-11 02:01:11.287129,50471.28712871287
43697.0858978394,1958-02-11 02:10:41.584158,51041.58415841585
43792.2358978394,1958-02-11 02:15:26.732673,51326.73267326733
43878.7358978394,1958-02-11 02:15:26.732673,51326.73267326733
44069.0358978394,1958-02-11 02:20:11.881188,51611.88118811883
44233.3858978394,1958-02-11 02:22:34.455446,51754.455445544576
44354.4858978394,1958-02-11 02:27:19.603960,52039.603960396045
44285.2858978394,1958-02-11 02:29:42.178218,52182.17821782181
44129.5858978394,1958-02-11 02:29:42.178218,52182.17821782181
44043.0858978394,1958-02-11 02:34:27.326733,52467.32673267328
44043.0858978394,1958-02-11 02:48:42.772277,53322.772277227734
44086.3358978394,1958-02-11 02:51:05.346535,53465.34653465348
44146.8858978394,1958-02-11 02:53:27.920792,53607.92079207922
44164.1858978394,1958-02-11 02:58:13.069307,53893.069306930694
44129.5858978394,1958-02-11 02:58:13.069307,53893.069306930694
44198.7858978394,1958-02-11 03:02:58.217822,54178.217821782186
44337.1858978394,1958-02-11 03:07:43.366337,54463.36633663368
44363.1358978394,1958-02-11 03:14:51.089109,54891.089108910906
44440.9858978394,1958-02-11 03:17:13.663366,55033.66336633665
44622.6358978394,1958-02-11 03:50:29.702970,57029.70297029703
44648.585897839395,1958-02-11 04:09:30.297030,58170.29702970299
44605.335897839395,1958-02-11 03:57:37.425743,57457.42574257428
