Voltage,Time,dT
505.5964966587029,1958-02-11 02:29:47.087266,-5412.912733855493
417.7647583918368,1958-02-11 02:30:44.957501,-5355.042499255804
436.61862045053584,1958-02-11 02:31:53.029682,-5286.970317603879
260.78794903187827,1958-02-11 02:32:58.768333,-5221.231667189811
346.0113006038307,1958-02-11 02:33:03.493721,-5216.506278935573
361.54866645694017,1958-02-11 02:34:03.912335,-5156.087665363925
468.6766014311257,1958-02-11 02:35:01.139622,-5098.860378161251
392.60194782980574,1958-02-11 02:35:37.485699,-5062.514300901038
354.7949505232817,1958-02-11 02:36:52.985493,-4987.014506611105
329.4551747110733,1958-02-11 02:38:00.954464,-4919.045536086686
434.42538926234215,1958-02-11 02:38:54.703602,-4865.296398158314
387.86901025184824,1958-02-11 02:40:09.945793,-4790.0542070875235
386.36748691699654,1958-02-11 02:41:18.717690,-4721.282310058598
385.1030944014923,1958-02-11 02:42:27.455880,-4652.544119712208
366.2910212544198,1958-02-11 02:43:38.659612,-4581.34038829696
277.9915610846401,1958-02-11 02:44:24.954209,-4535.045790555497
258.68673192609435,1958-02-11 02:45:24.626650,-4475.373349978735
246.27719090135034,1958-02-11 02:46:34.802039,-4405.1979607309195
154.12577403987245,1958-02-11 02:47:43.530557,-4336.469443006746
129.38543040916204,1958-02-11 02:48:55.081713,-4264.91828726471
105.11934841714276,1958-02-11 02:50:06.525601,-4193.474399072981
99.82373197276387,1958-02-11 02:51:15.707911,-4124.292089326343
108.75596468911402,1958-02-11 02:52:23.215256,-4056.784743768141
-127.19560950070648,1958-02-11 02:53:28.750455,-3991.249545440856
-221.09941396151876,1958-02-11 02:53:37.615553,-3982.3844469093815
-9.782893656366765,1958-02-11 02:53:22.337793,-3997.6622071335582
-253.5927451529135,1958-02-11 02:54:20.503709,-3939.496291245339
-109.51791892185477,1958-02-11 02:55:11.742294,-3888.257705902604
40.160152924625756,1958-02-11 02:55:45.374376,-3854.625623650824
56.20631022133983,1958-02-11 02:56:52.119416,-3787.8805839985325
33.837274784086304,1958-02-11 02:58:03.202162,-3716.797837967311
30.14968204656866,1958-02-11 02:59:10.386411,-3649.61358916371
24.044936018086016,1958-02-11 03:00:18.963812,-3581.0361883715846
-27.5786918633856,1958-02-11 03:01:35.592414,-3504.4075860127336
48.869903829774515,1958-02-11 03:02:24.322038,-3455.677961582354
125.31849952293463,1958-02-11 03:03:12.561023,-3407.43897711404
70.22541101600403,1958-02-11 03:04:27.579199,-3332.4208009613412
94.80827780915602,1958-02-11 03:05:33.288129,-3266.7118712446613
73.86202728797467,1958-02-11 03:06:44.279507,-3195.7204926706777
32.99678794177312,1958-02-11 03:07:57.477572,-3122.52242815761
47.62016032241318,1958-02-11 03:09:04.393155,-3055.6068454540423
56.55239303876272,1958-02-11 03:10:11.939646,-2988.060354188876
86.82639949620585,1958-02-11 03:11:17.016187,-2922.9838127111416
61.61179422680614,1958-02-11 03:12:28.481734,-2851.5182662386396
64.85288727886393,1958-02-11 03:13:36.670560,-2783.329440249172
60.98005575055782,1958-02-11 03:14:45.672649,-2714.3273509774403
80.66125978265468,1958-02-11 03:15:47.888351,-2652.1116485928387
98.7635100082777,1958-02-11 03:16:58.418711,-2581.5812886931662
120.50080696928352,1958-02-11 03:18:04.408113,-2515.59188739916
120.89633018919513,1958-02-11 03:19:12.920377,-2447.079623150465
118.44628357696179,1958-02-11 03:20:21.771504,-2378.2284958455316
104.61395763614496,1958-02-11 03:21:31.968493,-2308.031506562613
105.00948085605658,1958-02-11 03:22:40.481285,-2239.518714800324
105.40500407597065,1958-02-11 03:23:48.994064,-2171.005936171157
115.76002170839298,1958-02-11 03:24:56.328362,-2103.6716381453743
103.35048068364831,1958-02-11 03:26:06.354852,-2033.6451483190724
102.32321898748654,1958-02-11 03:27:15.035113,-1964.964887278454
71.41747405379509,1958-02-11 03:28:27.189426,-1892.810574447849
162.90419217069962,1958-02-11 03:29:30.587837,-1829.4121628261344
101.04600858985334,1958-02-11 03:29:43.730619,-1816.2693810388203
94.9730791507859,1958-02-11 03:30:41.575522,-1758.4244776774538
54.107839804583755,1958-02-11 03:31:54.846012,-1685.1539882795335
44.543868611985886,1958-02-11 03:33:04.487731,-1615.5122690624266
81.93179964979294,1958-02-11 03:34:08.772383,-1551.2276170180667
181.92226699480918,1958-02-11 03:35:05.322790,-1494.6772095633357
260.57096059873186,1958-02-11 03:36:03.846631,-1436.1533690060621
263.81205365079023,1958-02-11 03:37:11.981322,-1368.0186781668178
254.24808245819054,1958-02-11 03:38:21.791413,-1298.2085871668828
246.10689618166484,1958-02-11 03:39:31.409393,-1228.5906065247425
293.4543216319838,1958-02-11 03:40:33.734353,-1166.265647083241
271.0852861947303,1958-02-11 03:41:45.262626,-1094.7373743558721
230.22004684852752,1958-02-11 03:42:59.137297,-1020.8627034894326
221.36746811396574,1958-02-11 03:44:08.829657,-951.1703430302173
155.35629072404228,1958-02-11 03:44:42.780203,-917.2197970275812
270.8490709383936,1958-02-11 03:45:10.971935,-889.028064547441
271.2445941583058,1958-02-11 03:46:19.479207,-820.5207925254185
189.11859224598925,1958-02-11 03:47:38.579462,-741.4205383905501
210.85588920699507,1958-02-11 03:48:44.403978,-675.5960224265509
265.9015159689347,1958-02-11 03:49:46.618555,-613.3814450017063
254.3304831290061,1958-02-11 03:50:55.934007,-544.0659930370193
193.54625495778373,1958-02-11 03:52:12.263189,-467.7368107005478
232.35697091166418,1958-02-11 03:53:15.897373,-404.1026274813236
254.09426787267,1958-02-11 03:54:21.642985,-338.35701548331264
231.72523243541525,1958-02-11 03:55:33.097343,-266.90265677784686
220.7384763267446,1958-02-11 03:56:43.063243,-196.93675704943595
228.24792412702075,1958-02-11 03:57:50.662387,-129.33761316688165
224.37509259871462,1958-02-11 03:58:59.717600,-60.28239982278052
222.94602953629354,1958-02-11 04:00:09.275815,9.275815409923993
235.12563345104857,1958-02-11 04:01:15.456948,75.45694763191406
246.90343599954488,1958-02-11 04:02:22.493952,142.4939516268456
210.30655140156108,1958-02-11 04:03:35.745707,215.74570663985355
239.15777294293142,1958-02-11 04:04:40.615250,280.61524996070517
256.6267151557189,1958-02-11 04:05:46.906535,346.9065349829876
249.9083137952666,1958-02-11 04:06:56.341256,416.34125583144055
186.27851579189868,1958-02-11 04:08:13.002953,493.0029528484525
176.7145445992996,1958-02-11 04:09:22.750792,562.7507920711935
174.26449798706625,1958-02-11 04:10:31.613400,631.6134002297613
173.23723629090446,1958-02-11 04:11:40.299777,700.2997768422944
182.169469007254,1958-02-11 04:12:47.752072,767.7520720766137
218.1346151289895,1958-02-11 04:13:51.786013,831.7860134229107
262.60351047883483,1958-02-11 04:14:48.886517,888.8865171101482
202.6001267596209,1958-02-11 04:15:24.350365,924.3503647572937
175.0170907805095,1958-02-11 04:16:48.596983,1008.5969826670038
202.3796068691546,1958-02-11 04:17:42.313128,1062.3131276133709
252.57260215161978,1958-02-11 04:18:44.441659,1124.4416587793694
228.78078179829222,1958-02-11 04:19:56.075692,1196.0756918383665
210.68010110925522,1958-02-11 04:21:06.942425,1266.9424245401217
181.19714109163715,1958-02-11 04:22:19.201197,1339.2011970353665
214.31671738122586,1958-02-11 04:23:23.599853,1403.5998525503148
241.74515400652342,1958-02-11 04:24:28.643763,1468.643763330131
244.98624705858182,1958-02-11 04:25:36.783577,1536.7835765162708
195.58429821594234,1958-02-11 04:26:51.642660,1611.6426601653586
161.83298345010348,1958-02-11 04:28:04.388185,1684.388184845517
177.87914074681817,1958-02-11 04:29:10.969321,1750.9693208760089
183.96580363102214,1958-02-11 04:30:18.772663,1818.7726632753865
203.5689232179185,1958-02-11 04:31:24.875927,1884.8759268091237
