D,Time,dT
9.911931239180166,1958-02-10 21:58:23.425267,35903.42526672799
9.894801498171224,1958-02-10 22:00:07.188623,36007.18862295256
9.873502923600329,1958-02-10 22:03:08.362737,36188.36273699548
9.862719823280928,1958-02-10 22:06:31.497350,36391.49734971027
9.845828157961561,1958-02-10 22:10:29.768760,36629.76876030004
9.82141759401979,1958-02-10 22:12:07.767486,36727.767485623255
9.801594215222512,1958-02-10 22:15:42.339858,36942.339858062966
9.804480178271914,1958-02-10 22:20:24.166258,37224.16625768528
9.79941510713487,1958-02-10 22:24:57.757470,37497.75747030566
9.786518527516181,1958-02-10 22:28:20.548950,37700.54895022868
9.795958270424409,1958-02-10 22:32:55.398316,37975.398316418796
9.796210842525996,1958-02-10 22:37:35.394674,38255.39467448511
9.790106737960494,1958-02-10 22:42:02.008854,38522.00885367327
9.799122391123097,1958-02-10 22:46:50.240399,38810.24039874156
9.821871303838037,1958-02-10 22:50:26.414058,39026.41405754276
9.820393087978584,1958-02-10 22:54:45.822448,39285.822448104205
9.819993042762496,1958-02-10 22:58:29.201896,39509.201895532125
9.797147533763669,1958-02-10 23:00:38.906091,39638.90609081285
9.779545544255733,1958-02-10 23:01:36.552400,39696.552399826505
9.809250365130435,1958-02-10 23:05:27.137636,39927.137635881125
9.828446030702466,1958-02-10 23:07:32.037972,40052.03797207738
9.839129700503582,1958-02-10 23:12:02.426612,40322.42661197476
9.847553230990941,1958-02-10 23:14:40.542202,40480.54220241221
9.821295629014884,1958-02-10 23:16:58.893344,40618.893344044984
9.794321848530023,1958-02-10 23:17:56.539653,40676.539653058644
9.75965939413593,1958-02-10 23:19:37.420694,40777.42069383254
9.737144654230407,1958-02-10 23:21:47.124889,40907.12488911327
9.722118565626072,1958-02-10 23:24:07.123068,41047.12306814643
9.740458199483674,1958-02-10 23:27:21.473481,41241.473481392466
9.78155943041673,1958-02-10 23:29:28.295361,41368.29536122251
9.814675368548624,1958-02-10 23:30:25.941670,41425.94167023616
9.86825703450363,1958-02-10 23:33:04.469020,41584.469020023724
9.898665349526624,1958-02-10 23:35:14.173215,41714.17321530444
9.91287963905831,1958-02-10 23:37:44.053619,41864.053618739934
9.891123033623279,1958-02-10 23:39:33.581606,41973.58160586589
9.865271331183548,1958-02-10 23:41:00.051069,42060.05106938637
9.840309973279624,1958-02-10 23:44:00.195785,42240.19578505405
9.84354692450981,1958-02-10 23:49:02.838907,42542.838907375735
9.858612041915716,1958-02-10 23:53:29.453087,42809.45308656389
9.874601925092149,1958-02-10 23:58:04.874341,43084.87434074024
9.910172341189426,1958-02-11 00:05:10.816513,43510.8165128967
9.924617063270379,1958-02-11 00:10:11.057706,43811.057705676154
9.9178919128999,1958-02-11 00:14:16.054519,44056.054518984194
9.902602379884968,1958-02-11 00:17:52.228178,44272.22817778541
9.899834045306962,1958-02-11 00:22:06.032066,44526.032066081636
9.880161361049078,1958-02-11 00:26:22.237884,44782.237883920105
9.876672619842097,1958-02-11 00:30:57.659138,45057.65913809645
9.874372359849582,1958-02-11 00:35:24.273317,45324.27331728461
9.863768722323114,1958-02-11 00:39:00.446976,45540.44697608582
9.869241536023225,1958-02-11 00:43:27.061155,45807.061155273965
9.871641807319762,1958-02-11 00:48:15.292700,46095.29270034224
9.864308295504815,1958-02-11 00:52:17.407198,46337.4071981996
9.846754255667378,1958-02-11 00:54:25.876115,46465.87611543002
9.83904049181428,1958-02-11 00:58:24.696538,46704.696538486605
9.828441384416566,1958-02-11 01:01:09.400279,46869.4002785256
9.85380174212225,1958-02-11 01:05:04.103108,47104.10310808122
9.866632460638291,1958-02-11 01:08:47.482556,47327.48255550913
9.872586792177769,1958-02-11 01:12:52.479369,47572.47936881716
9.851677924836833,1958-02-11 01:16:07.035662,47767.03566173826
9.838395122702611,1958-02-11 01:19:21.591955,47961.591954659336
9.844419218224894,1958-02-11 01:23:48.206134,48228.206133847496
9.863972647811316,1958-02-11 01:27:27.262108,48447.26210809938
10.105322853838203,1958-02-11 01:35:34.373419,48934.37341926477
10.085408407837262,1958-02-11 01:33:53.492378,48833.49237849087
10.124108716993755,1958-02-11 01:36:36.823587,48996.823587362895
10.208085688371233,1958-02-11 01:41:05.839696,49265.83969609329
10.317434633169148,1958-02-11 01:45:54.071241,49554.071241161575
10.356102418324332,1958-02-11 01:47:49.363859,49669.36385918888
10.409986015424815,1958-02-11 01:53:22.431422,50002.4314223789
10.258462113997327,1958-02-11 01:59:49.942722,50389.94272185957
9.789020436316806,1958-02-11 04:03:36.708866,57816.708866452165
9.705638654163264,1958-02-11 04:04:43.962894,57883.962893634765
9.770767966782707,1958-02-11 04:06:39.255512,57999.25551166208
9.74981925754017,1958-02-11 04:06:39.255512,57999.25551166208
9.731114704387888,1958-02-11 04:07:36.901821,58056.90182067574
9.689275829105167,1958-02-11 04:09:03.371284,58143.37128419622
9.645511532945006,1958-02-11 04:17:22.972629,58642.97262898123
9.672005584410572,1958-02-11 04:18:11.011220,58691.011219825945
9.77922745952294,1958-02-11 04:24:54.535383,59094.53538292153
9.813465475699962,1958-02-11 04:26:21.004846,59181.004846442
9.786412011411896,1958-02-11 04:29:52.374646,59392.37464615875
9.889874111973048,1958-02-11 04:34:30.998473,59670.99847305808
9.767665177057916,1958-02-11 04:38:50.406864,59930.40686361953
9.796468432616356,1958-02-11 04:42:12.168945,60132.16894516732
9.765577136173937,1958-02-11 04:41:43.345791,60103.345790660496
10.065786677848093,1958-02-11 04:49:24.516263,60564.516262769735
