Time,H,dT
1958-02-11 05:14:40,15915.825567290283,62079.99999979732
1958-02-11 05:15:00,15923.572491891498,62099.99999984792
1958-02-11 05:15:20,15931.319416492715,62119.99999989852
1958-02-11 05:15:40,15939.06634109393,62139.99999994913
1958-02-11 05:16:00,15946.813265695146,62159.99999999973
1958-02-11 05:16:20,15954.560190296363,62180.00000005033
1958-02-11 05:16:40,15962.307114897578,62200.00000010093
1958-02-11 05:17:00,15970.054039498793,62220.00000015154
1958-02-11 05:17:20,15977.80096410001,62240.00000020214
1958-02-11 05:17:40,15985.547888701225,62260.000000252745
1958-02-11 05:18:00,15986.6114557812,62280.000000274296
1958-02-11 05:18:20,15949.060072835906,62300.000000128006
1958-02-11 05:18:40,15911.508689890612,62319.99999998172
1958-02-11 05:19:00,15873.95730694532,62339.99999983544
1958-02-11 05:19:20,15855.236822510615,62359.999999757216
1958-02-11 05:19:40,15886.263640506457,62379.999999858795
1958-02-11 05:20:00,15917.2904585023,62399.99999996038
1958-02-11 05:20:20,15948.317276498145,62420.00000006196
1958-02-11 05:20:40,15965.707647257637,62440.00000012003
1958-02-11 05:21:00,15962.782495102223,62460.00000011328
1958-02-11 05:21:20,15959.857342946809,62480.00000010653
1958-02-11 05:21:40,15956.932190791396,62500.00000009977
1958-02-11 05:22:00,15954.007038635982,62520.000000093016
1958-02-11 05:22:20,15951.08188648057,62540.000000086264
1958-02-11 05:22:40,15948.156734325155,62560.00000007951
1958-02-11 05:23:00,15945.231582169741,62580.00000007275
1958-02-11 05:23:20,15942.306430014329,62600.000000066
1958-02-11 05:23:40,15939.381277858914,62620.00000005925
1958-02-11 05:24:00,15936.456125703502,62640.000000052496
1958-02-11 05:24:20,15933.530973548088,62660.00000004574
1958-02-11 05:24:40,15930.605821392674,62680.000000038985
1958-02-11 05:25:00,15911.446577435718,62700.00000007108
1958-02-11 05:25:20,15893.139183879215,62720.00000011078
1958-02-11 05:25:40,15893.397602182962,62740.000000119915
1958-02-11 05:26:00,15893.656020486711,62760.000000129054
1958-02-11 05:26:20,15893.914438790458,62780.00000013819
1958-02-11 05:26:40,15894.172857094207,62800.00000014733
1958-02-11 05:27:00,15894.431275397954,62820.00000015647
1958-02-11 05:27:20,15894.6896937017,62840.00000016561
