H,Time,dT
15947.729654132701,1958-02-11 05:02:27.540984,61347.540983606545
15992.151824312248,1958-02-11 05:17:57.049180,62277.04918032788
15966.77883446057,1958-02-11 05:10:12.295082,61812.295081967204
15966.882503469158,1958-02-11 05:20:31.967213,62431.967213114745
15846.717163890702,1958-02-11 05:19:14.508197,62354.50819672132
15827.5383973021,1958-02-11 04:58:35.163934,61115.16393442622
15858.97602415612,1958-02-11 04:40:30.737705,60030.737704918036
15859.05377591256,1958-02-11 04:48:15.491803,60495.49180327868
15910.26626615456,1958-02-11 05:50:13.524590,64213.524590163935
15935.431917989063,1958-02-11 05:37:18.934426,63438.934426229505
15897.42426771584,1958-02-11 05:30:51.639344,63051.6393442623
15827.953073336448,1958-02-11 05:39:53.852459,63593.85245901639
15802.800380128017,1958-02-11 05:54:05.901639,64445.90163934426
15897.709357489453,1958-02-11 05:59:15.737705,64755.737704918036
15942.040817286488,1958-02-11 06:05:43.032787,65143.03278688523
15815.603502688517,1958-02-11 06:09:35.409836,65375.40983606556
