 Format                 IAGA-2002                                    |
 Source of Data         Geological Survey of Canada (GSC)            |
 Station Name           St Johns                                     |
 IAGA CODE              STJ                                          |
 Geodetic Latitude      47.595                                       |
 Geodetic Longitude     307.323                                      |
 Elevation              100                                          |
 Reported               XYZF                                         |
 Sensor Orientation     XYZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 #                                                                   |
 # CONDITIONS OF USE: The use of this data in publications           |
 # is conditional on an acknowledgement of the form:                 |
 # The results presented in this paper rely on the data collected at |
 # St Johns.  We thank the Geological Survey of Canada for           |
 # supporting its operation.                                         |
 #                                                                   |
DATE       TIME         DOY     STJX      STJY      STJZ      STJF   | 
1989-03-12 02:20:00.000 071     17215.00  -7498.00  49430.00  52878.00
1989-03-12 02:21:00.000 071     17215.00  -7498.00  49430.00  52877.50
1989-03-12 02:22:00.000 071     17216.00  -7499.00  49431.00  52879.40
1989-03-12 02:23:00.000 071     17217.00  -7500.00  49430.00  52879.30
1989-03-12 02:24:00.000 071     17216.00  -7500.00  49429.00  52877.20
1989-03-12 02:25:00.000 071     17215.00  -7500.00  49427.00  52875.50
1989-03-12 02:26:00.000 071     17215.00  -7500.00  49425.00  52874.00
1989-03-12 02:27:00.000 071     17214.00  -7500.00  49425.00  52873.60
1989-03-12 02:28:00.000 071     17215.00  -7500.00  49424.00  52872.40
1989-03-12 02:29:00.000 071     17215.00  -7500.00  49423.00  52872.10
1989-03-12 02:30:00.000 071     17215.00  -7500.00  49424.00  52871.60
1989-03-12 02:31:00.000 071     17214.00  -7500.00  49423.00  52871.30
1989-03-12 02:32:00.000 071     17215.00  -7501.00  49423.00  52871.70
1989-03-12 02:33:00.000 071     17215.00  -7501.00  49423.00  52871.90
1989-03-12 02:34:00.000 071     17216.00  -7501.00  49422.00  52871.10
1989-03-12 02:35:00.000 071     17214.00  -7501.00  49421.00  52869.10
1989-03-12 02:36:00.000 071     17214.00  -7500.00  49420.00  52868.00
