"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/12 00:00:30.047,n,618.57696,593.14612,366.90652
2024/05/12 00:00:35.000,n,619.22192,592.98028,367.1864
2024/05/12 00:00:40.000,n,619.30456,593.0804,367.29736
2024/05/12 00:00:45.018,n,619.5028,592.69788,367.178
2024/05/12 00:00:50.000,n,618.7094,592.914,366.84148
2024/05/12 00:00:55.000,n,619.43708,593.11324,367.39632
2024/05/12 00:01:00.159,n,618.89124,593.12968,367.0828
2024/05/12 00:01:05.000,n,618.7592,593.03008,366.94284
2024/05/12 00:01:10.000,n,618.85832,593.01312,366.99112
2024/05/12 00:01:15.000,n,618.34584,593.19592,366.80024
2024/05/12 00:01:20.000,n,619.5362,592.8976,367.32152
2024/05/12 00:01:25.000,n,619.23836,592.9638,367.18596
2024/05/12 00:01:30.112,n,618.92408,593.12968,367.10228
2024/05/12 00:01:35.000,n,618.74232,592.98028,366.902
2024/05/12 00:01:40.083,n,618.80852,593.22876,367.09504
2024/05/12 00:01:45.000,n,619.33748,593.22876,367.4088
2024/05/12 00:01:50.117,n,618.95744,593.06292,367.08072
2024/05/12 00:01:55.000,n,618.49428,593.06292,366.80604
2024/05/12 00:02:00.000,n,619.15572,593.2462,367.31176
2024/05/12 00:02:05.126,n,619.20552,593.03008,367.20748
2024/05/12 00:02:10.000,n,619.22192,592.98028,367.1864
2024/05/12 00:02:15.003,n,619.28816,593.21236,367.3694
2024/05/12 00:02:20.000,n,619.38728,593.03008,367.31528
2024/05/12 00:02:25.000,n,619.22192,592.8976,367.1352
2024/05/12 00:02:30.000,n,619.0894,592.86372,367.03564
2024/05/12 00:02:35.000,n,619.25476,593.19592,367.3394
2024/05/12 00:02:40.003,n,618.87476,593.14612,367.08316
2024/05/12 00:02:45.046,n,618.85832,593.06292,367.02196
2024/05/12 00:02:50.000,n,619.04012,592.914,367.03752
2024/05/12 00:02:55.000,n,619.1228,592.69788,366.9528
2024/05/12 00:03:00.000,n,619.33748,593.14612,367.35764
2024/05/12 00:03:05.002,n,619.02368,593.01312,367.08916
2024/05/12 00:03:10.000,n,619.58648,593.12968,367.49516
2024/05/12 00:03:15.000,n,618.67656,593.0804,366.92492
2024/05/12 00:03:20.116,n,619.0894,592.99672,367.118
2024/05/12 00:03:25.000,n,619.30456,592.64808,367.02968
2024/05/12 00:03:30.001,n,619.25476,593.03008,367.23672
2024/05/12 00:03:35.000,n,619.073,592.9474,367.07772
2024/05/12 00:03:40.000,n,618.90764,593.03008,367.03088
2024/05/12 00:03:45.114,n,619.6194,592.98028,367.42208
2024/05/12 00:03:50.000,n,619.32104,592.83088,367.1526
2024/05/12 00:03:55.002,n,618.72588,592.59876,366.6562
2024/05/12 00:04:00.000,n,619.15572,592.98028,367.14712
2024/05/12 00:04:05.000,n,618.80852,593.0804,367.00316
2024/05/12 00:04:10.000,n,619.37084,593.06292,367.32588
2024/05/12 00:04:15.000,n,618.72588,592.9638,366.88204
2024/05/12 00:04:20.001,n,619.37084,593.26264,367.4496
2024/05/12 00:04:25.000,n,619.05656,593.16304,367.20148
2024/05/12 00:04:30.004,n,619.25476,593.04652,367.24688
2024/05/12 00:04:35.047,n,619.0894,592.914,367.06676
2024/05/12 00:04:40.000,n,619.02368,593.22876,367.22264
2024/05/12 00:04:45.000,n,619.38728,593.11324,367.3668
2024/05/12 00:04:50.000,n,619.5362,593.0804,367.43476
2024/05/12 00:04:55.003,n,619.76824,592.9638,367.50012
2024/05/12 00:05:00.000,n,619.5362,593.27912,367.55788
2024/05/12 00:05:05.002,n,619.70204,592.98028,367.47108
2024/05/12 00:05:10.103,n,618.90764,592.58232,366.75376
2024/05/12 00:05:15.093,n,619.37084,592.93096,367.24416
2024/05/12 00:05:20.037,n,618.87476,592.84728,366.89824
2024/05/12 00:05:25.000,n,619.78472,592.8144,367.41728
2024/05/12 00:05:30.000,n,619.51976,592.73176,367.20904
2024/05/12 00:05:35.000,n,619.76824,592.79796,367.39736
2024/05/12 00:05:40.000,n,619.18904,593.16304,367.28004
2024/05/12 00:05:45.004,n,619.90076,593.14612,367.69172
2024/05/12 00:05:50.000,n,619.28816,592.9638,367.21544
2024/05/12 00:05:55.000,n,619.18904,593.27912,367.35188
2024/05/12 00:06:00.003,n,619.43708,593.17952,367.43736
2024/05/12 00:06:05.000,n,619.40368,592.83088,367.20164
2024/05/12 00:06:10.184,n,619.15572,592.9638,367.13692
2024/05/12 00:06:15.000,n,619.05656,592.8144,366.98564
2024/05/12 00:06:20.000,n,619.27172,592.63164,367.00004
2024/05/12 00:06:25.000,n,619.90076,593.14612,367.69172
2024/05/12 00:06:30.000,n,619.073,593.16304,367.2112
2024/05/12 00:06:35.002,n,619.0894,592.98028,367.1078
2024/05/12 00:06:40.005,n,619.30456,592.71428,367.07064
2024/05/12 00:06:45.005,n,619.5028,593.04652,367.394
2024/05/12 00:06:50.000,n,619.42016,592.9638,367.29376
2024/05/12 00:06:55.057,n,619.43708,592.914,367.27292
2024/05/12 00:07:00.002,n,619.15572,592.98028,367.14712
2024/05/12 00:07:05.000,n,619.43708,593.11324,367.39632
2024/05/12 00:07:10.064,n,619.13924,593.06292,367.18852
2024/05/12 00:07:15.000,n,618.97388,592.78108,366.916
2024/05/12 00:07:20.000,n,619.0894,592.79796,366.99492
2024/05/12 00:07:25.001,n,619.13924,592.8144,367.03468
2024/05/12 00:07:30.000,n,619.28816,592.98028,367.22564
2024/05/12 00:07:35.005,n,619.32104,592.79796,367.13228
2024/05/12 00:07:40.000,n,619.71844,593.06292,367.53204
2024/05/12 00:07:45.000,n,618.97388,593.04652,367.08028
2024/05/12 00:07:50.001,n,618.90764,593.01312,367.0204
2024/05/12 00:07:55.000,n,618.99028,592.88068,366.98736
2024/05/12 00:08:00.004,n,618.94104,592.71428,366.8552
2024/05/12 00:08:05.000,n,619.18904,592.71428,367.0022
2024/05/12 00:08:10.000,n,618.97388,592.83088,366.9468
2024/05/12 00:08:15.000,n,619.37084,592.7646,367.14108
2024/05/12 00:08:20.000,n,618.97388,592.99672,367.04948
2024/05/12 00:08:25.003,n,618.77568,592.9474,366.90144
2024/05/12 00:08:30.126,n,619.51976,592.88068,367.30132
2024/05/12 00:08:35.091,n,619.27172,592.98028,367.21596
2024/05/12 00:08:40.051,n,619.6692,593.26264,367.62656
2024/05/12 00:08:45.000,n,618.79212,593.0804,366.99348
2024/05/12 00:08:50.003,n,619.073,592.99672,367.10824
2024/05/12 00:08:55.000,n,618.80852,593.5774,367.31076
2024/05/12 00:09:00.006,n,618.79212,592.9638,366.92132
2024/05/12 00:09:05.000,n,618.92408,592.93096,366.97924
2024/05/12 00:09:10.000,n,618.82496,592.71428,366.7864
2024/05/12 00:09:15.003,n,618.94104,593.16304,367.13292
2024/05/12 00:09:20.000,n,618.693,593.19592,367.00616
2024/05/12 00:09:25.006,n,619.05656,592.8144,366.98564
2024/05/12 00:09:30.000,n,619.073,593.27912,367.28308
2024/05/12 00:09:35.000,n,618.94104,593.01312,367.04016
2024/05/12 00:09:40.002,n,619.04012,592.98028,367.07856
2024/05/12 00:09:45.029,n,619.00676,593.14612,367.16148
2024/05/12 00:09:50.005,n,619.17212,592.88068,367.0952
2024/05/12 00:09:55.004,n,618.85832,593.01312,366.99112
2024/05/12 00:10:00.110,n,619.45348,592.86372,367.25148
2024/05/12 00:10:05.007,n,619.1228,592.99672,367.1378
2024/05/12 00:10:10.000,n,619.22192,593.03008,367.21724
2024/05/12 00:10:15.084,n,618.79212,593.0804,366.99348
2024/05/12 00:10:20.000,n,618.6432,593.06292,366.89436
2024/05/12 00:10:25.000,n,619.073,593.44544,367.386
2024/05/12 00:10:30.102,n,619.22192,592.9474,367.16604
2024/05/12 00:10:35.176,n,619.71844,592.98028,367.4808
2024/05/12 00:10:40.004,n,619.23836,593.0804,367.25812
2024/05/12 00:10:45.000,n,618.80852,592.9638,366.93108
2024/05/12 00:10:50.000,n,619.28816,592.69788,367.0508
2024/05/12 00:10:55.000,n,619.0894,593.06292,367.15896
2024/05/12 00:11:00.000,n,618.74232,593.03008,366.9328
2024/05/12 00:11:05.003,n,618.89124,592.84728,366.908
2024/05/12 00:11:10.000,n,619.27172,593.16304,367.32912
2024/05/12 00:11:15.089,n,618.97388,593.17952,367.16264
2024/05/12 00:11:20.000,n,618.95744,593.01312,367.04988
2024/05/12 00:11:25.000,n,619.40368,592.68144,367.10912
2024/05/12 00:11:30.003,n,619.20552,593.14612,367.27936
2024/05/12 00:11:35.000,n,619.1064,593.31244,367.32352
2024/05/12 00:11:40.006,n,619.25476,592.8976,367.15468
2024/05/12 00:11:45.000,n,618.87476,593.26264,367.15528
2024/05/12 00:11:50.108,n,618.85832,592.79796,366.85796
2024/05/12 00:11:55.003,n,618.72588,593.11324,366.97448
2024/05/12 00:12:00.000,n,619.073,592.8144,366.99536
2024/05/12 00:12:05.099,n,618.61028,593.14612,366.92628
2024/05/12 00:12:10.086,n,619.80116,592.7646,367.39616
2024/05/12 00:12:15.000,n,619.04012,593.03008,367.1094
2024/05/12 00:12:20.002,n,619.1228,593.11324,367.20988
2024/05/12 00:12:25.000,n,619.15572,592.8976,367.09592
2024/05/12 00:12:30.005,n,618.97388,593.11324,367.1216
2024/05/12 00:12:35.066,n,619.23836,592.9638,367.18596
2024/05/12 00:12:40.000,n,618.95744,593.26264,367.20436
2024/05/12 00:12:45.001,n,618.92408,593.01312,367.03008
2024/05/12 00:12:50.000,n,618.52764,592.88068,366.71312
2024/05/12 00:12:55.077,n,619.18904,592.66496,366.97164
2024/05/12 00:13:00.000,n,618.77568,593.16304,367.03488
2024/05/12 00:13:05.000,n,618.79212,593.03008,366.96236
2024/05/12 00:13:10.119,n,618.54408,593.34532,367.01024
2024/05/12 00:13:15.000,n,618.84144,592.78108,366.83748
2024/05/12 00:13:20.004,n,619.00676,593.01312,367.07912
2024/05/12 00:13:25.012,n,618.99028,593.03008,367.07988
2024/05/12 00:13:30.007,n,619.1228,592.83088,367.03512
2024/05/12 00:13:35.000,n,618.99028,593.04652,367.09004
2024/05/12 00:13:40.000,n,618.97388,593.16304,367.1524
2024/05/12 00:13:45.086,n,618.62676,593.37872,367.07996
2024/05/12 00:13:50.000,n,618.92408,592.9474,366.9894
2024/05/12 00:13:55.122,n,619.18904,593.03008,367.19772
2024/05/12 00:14:00.000,n,618.42852,593.03008,366.74672
2024/05/12 00:14:05.000,n,619.1064,592.914,367.07684
2024/05/12 00:14:10.003,n,618.92408,592.7646,366.87628
2024/05/12 00:14:15.000,n,618.97388,592.93096,367.0088
2024/05/12 00:14:20.006,n,619.00676,592.7646,366.92528
2024/05/12 00:14:25.000,n,619.04012,593.16304,367.19168
2024/05/12 00:14:30.000,n,618.82496,593.16304,367.06408
2024/05/12 00:14:35.002,n,619.05656,593.04652,367.12932
2024/05/12 00:14:40.000,n,619.04012,593.0968,367.15072
2024/05/12 00:14:45.006,n,619.05656,592.78108,366.96504
2024/05/12 00:14:50.065,n,619.20552,593.0804,367.2386
2024/05/12 00:14:55.000,n,619.1064,592.93096,367.08736
2024/05/12 00:15:00.184,n,618.92408,592.914,366.96876
2024/05/12 00:15:05.000,n,619.5362,592.78108,367.24928
2024/05/12 00:15:10.005,n,619.6194,593.27912,367.60724
2024/05/12 00:15:15.000,n,619.32104,593.03008,367.276
2024/05/12 00:15:20.000,n,619.4864,593.0804,367.4052
