Time,Z,dT
1958-02-10 16:37:40,44951.75501910854,16660.000000198655
1958-02-10 16:38:00,44951.89039875743,16680.000000217722
1958-02-10 16:38:20,44952.025778406314,16700.000000236785
1958-02-10 16:38:40,44952.161158055205,16720.00000025585
1958-02-10 16:39:00,44952.2965377041,16740.000000274915
1958-02-10 16:39:20,44952.43191735299,16760.00000029398
1958-02-10 16:39:40,44952.56729700187,16780.000000313048
1958-02-10 16:40:00,44952.70267665076,16800.00000033211
1958-02-10 16:40:20,44952.83805629965,16820.000000351178
1958-02-10 16:40:40,44953.25005372021,16840.000000344724
1958-02-10 16:41:00,44953.6963051548,16860.000000335116
1958-02-10 16:41:20,44954.14255658939,16880.000000325505
1958-02-10 16:41:40,44954.588808023975,16900.000000315893
1958-02-10 16:42:00,44955.03505945856,16920.000000306285
1958-02-10 16:42:20,44955.48131089315,16940.000000296674
1958-02-10 16:42:40,44955.927562327735,16960.000000287062
1958-02-10 16:43:00,44956.37381376233,16980.00000027745
1958-02-10 16:43:20,44956.82006519692,17000.000000267843
1958-02-10 16:43:40,44957.2663166315,17020.00000025823
1958-02-10 16:44:00,44957.71256806609,17040.00000024862
1958-02-10 16:44:20,44958.15881950068,17060.00000023901
1958-02-10 16:44:40,44958.60507093527,17080.0000002294
1958-02-10 16:45:00,44959.05132236986,17100.00000021979
1958-02-10 16:45:20,44959.497573804445,17120.00000021018
1958-02-10 16:45:40,44959.94382523903,17140.00000020057
1958-02-10 16:46:00,44960.39007667362,17160.000000190958
1958-02-10 16:46:20,44960.836328108206,17180.000000181346
1958-02-10 16:46:40,44961.2825795428,17200.000000171738
1958-02-10 16:47:00,44961.72883097739,17220.000000162127
1958-02-10 16:47:20,44962.17508241197,17240.000000152515
1958-02-10 16:47:40,44962.62133384656,17260.000000142907
1958-02-10 16:48:00,44963.06758528115,17280.000000133296
1958-02-10 16:48:20,44963.513836715734,17300.000000123684
1958-02-10 16:48:40,44963.96008815033,17320.000000114072
1958-02-10 16:49:00,44964.406339584915,17340.000000104465
1958-02-10 16:49:20,44964.8525910195,17360.000000094853
1958-02-10 16:49:40,44965.29884245409,17380.00000008524
1958-02-10 16:50:00,44965.745093888676,17400.000000075634
1958-02-10 16:50:20,44966.19134532327,17420.000000066022
1958-02-10 16:50:40,44966.63759675786,17440.00000005641
1958-02-10 16:51:00,44967.083848192444,17460.0000000468
1958-02-10 16:51:20,44967.53009962703,17480.00000003719
1958-02-10 16:51:40,44968.09333872861,17500.000000024756
1958-02-10 16:52:00,44968.82358658155,17520.000000008287
1958-02-10 16:52:20,44969.55383443448,17539.999999991822
1958-02-10 16:52:40,44970.28408228742,17559.999999975353
1958-02-10 16:53:00,44971.01433014035,17579.999999958887
1958-02-10 16:53:20,44971.74457799329,17599.999999942418
1958-02-10 16:53:40,44972.47482584622,17619.999999925953
1958-02-10 16:54:00,44973.20507369915,17639.999999909483
1958-02-10 16:54:20,44973.93532155209,17659.999999893018
