"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/12 00:06:45.010,n,2443.2106,868.7016
2024/10/12 00:06:50.003,n,2443.5458,868.79448
2024/10/12 00:06:55.000,n,2443.5458,868.6392
2024/10/12 00:07:00.007,n,2443.3274,868.73256
2024/10/12 00:07:05.000,n,2443.3128,868.62344
2024/10/12 00:07:10.009,n,2444.0256,868.62344
2024/10/12 00:07:15.151,n,2443.5164,868.8412
2024/10/12 00:07:20.000,n,2443.7202,868.68584
2024/10/12 00:07:25.039,n,2443.7202,868.8884
2024/10/12 00:07:30.000,n,2443.3854,868.7016
2024/10/12 00:07:35.009,n,2443.2106,868.68584
2024/10/12 00:07:40.003,n,2443.2106,868.73256
2024/10/12 00:07:45.000,n,2444.0256,868.62344
2024/10/12 00:07:50.007,n,2443.764,868.77976
2024/10/12 00:07:55.000,n,2443.2832,868.71728
2024/10/12 00:08:00.008,n,2443.4002,868.74832
2024/10/12 00:08:05.001,n,2443.7928,868.68584
2024/10/12 00:08:10.000,n,2443.5018,868.77976
2024/10/12 00:08:15.004,n,2442.9926,868.68584
2024/10/12 00:08:20.000,n,2443.2692,868.65488
2024/10/12 00:08:25.007,n,2443.2692,868.74832
2024/10/12 00:08:30.060,n,2443.4002,868.60864
2024/10/12 00:08:35.000,n,2443.2106,868.77976
2024/10/12 00:08:40.004,n,2442.7742,868.82592
2024/10/12 00:08:45.000,n,2443.3128,868.73256
2024/10/12 00:08:50.073,n,2443.4292,868.71728
2024/10/12 00:08:55.000,n,2443.2832,868.67056
2024/10/12 00:09:00.010,n,2442.702,868.60864
2024/10/12 00:09:05.003,n,2442.8472,868.7016
2024/10/12 00:09:10.000,n,2443.298,868.73256
2024/10/12 00:09:15.006,n,2442.8328,868.60864
2024/10/12 00:09:20.000,n,2443.167,868.6392
2024/10/12 00:09:25.009,n,2443.2832,868.7016
2024/10/12 00:09:30.002,n,2443.2692,868.68584
2024/10/12 00:09:35.000,n,2442.9782,868.79448
2024/10/12 00:09:40.006,n,2443.5018,868.67056
2024/10/12 00:09:45.000,n,2443.2254,868.79448
2024/10/12 00:09:50.010,n,2443.6038,868.74832
2024/10/12 00:09:55.002,n,2442.7308,868.6392
2024/10/12 00:10:00.000,n,2443.4002,868.74832
2024/10/12 00:10:05.005,n,2443.6912,868.7016
2024/10/12 00:10:10.000,n,2443.2106,868.85696
2024/10/12 00:10:15.107,n,2443.1818,868.7016
2024/10/12 00:10:20.002,n,2443.5748,868.71728
2024/10/12 00:10:25.000,n,2443.1238,868.79448
2024/10/12 00:10:30.004,n,2443.6038,868.77976
2024/10/12 00:10:35.000,n,2443.5604,868.77976
2024/10/12 00:10:40.007,n,2443.6334,868.68584
